Record ID,Gplus_URL,Location_Name,Address_Or_Intersection,City,State_Or_Province,ZIP_Or_Postal_Code,Country,Address2,Business_Phone,Fax,Cell_Phone,IPhone_And_Access,Wireless_Phones_Access,PAYGO_Phones_Access,PAYGO_Cards,Wireless_Products_Access,Messaging_Paging_Access,Internet_Service,Cable_TV,Digital_TV,Ignite_TV,Ignite_bundle_changes,Ignite_demo,RV_Sales_Rentals,MyHome_Advantage,Cellular_Repair,Phone_Upgrades,Car_Phone_Installation,Wireless_Accepts_CC_Cheq,Wireless_Accepts_Cash,Cable_Accepts_CC_Cheq,Cable_Accepts_Cash,Wireless_Accepts_Credit,Cable_Accepts_Credit,Pickup_Return_Dig_Equipmt,Pickup_Exch_Int_Modem,Messaging_Paging_HW_Exch,Home_Phone_Sales,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Intersection,Movies_And_Games_For_Rent,Hi_Def_For_Sale,Hi_Def_For_Rent,Games_For_Sale,Rogers_Portable_Internet,Rogers_Video_Store,Rogers_Plus_Store,Store_Name,Business_Voice_Data,Wireless_Business,Face_To_Face,Wireless_Content_Transfer,Rocket_Stick,Netbook_wRocketMobileInt,Rocket_Hub,Rocket_Mobile_Hotspot,Ipad_Microsims,MicroSIMs,Biz_Wireless,Biz_Internet_TV,Biz_Phone,Biz_Specialist_Available,Customer_Learning_WIR,Customer_Learning_Cable,Trade_Up,Wireless_HP,Smart_Home_Monitoring,Device_tuneup,Rogers_Credit_Cards,Corporate_Store,Latitude,Longitude
44,http://maps.google.ca/maps/place?hl=en&cid=3253395207166291920,Rogers,"317 7th Ave SW, Unit T315,",Calgary,AB,T2P 2Y9,CA,TD Square,(403) 571-7760,(403) 571-7763,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,7th Ave SW - 2nd St SW,N,N,N,N,N,N,N,,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,51.0466,-114.069
47,http://maps.google.ca/maps/place?hl=en&cid=6601681330889647848,Rogers,"10200 102A Ave, Unit 111,",Edmonton,AB,T5J 4B7,CA,Edmonton City Centre,(780) 421-4540,(780) 421-4540,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,102 Ave NW - 102 St NW,N,N,N,N,N,N,N,,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,53.543167,-113.495605
980,http://maps.google.ca/maps/place?hl=en&cid=8447052662118969775,Rogers,"2960 Kingsway Drive, Unit M021,",Kitchener,ON,N2C 1X1,CA,Fairview Park Mall,(519) 748-0484,(519) 748-4034,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 6:00PM,11:00AM - 5:00PM,Kingsway - Greensfield,N,N,N,N,Y,N,Y,Fairview Park Mall,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.428467,-80.438049
1939,http://maps.google.ca/maps/place?hl=en&cid=-6193254618442905596,Rogers,"355 Hespeler Road, Unit 337,",Cambridge,ON,N1R 6B3,CA,Cambridge Centre Mall,(519) 622-9749,(519) 622-8069,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 6:00PM,11:00AM - 5:00PM,Hespeler Rd - Bishop St N,N,N,N,N,Y,N,Y,Cambridge Centre,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,43.3941,-80.3208
1940,http://maps.google.ca/maps/place?hl=en&cid=-6093332483536264475,Rogers,"1680 Richmond St, Unit L077C,",London,ON,N6G 3Y9,CA,Masonville Place,(519) 660-6135,(519) 660-6720,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,12:00PM - 5:00PM,Richmond St N - Fanshaw Park Rd W,N,N,N,N,Y,N,Y,Masonville Place,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.0249,-81.2776
1944,http://maps.google.ca/maps/place?hl=en&cid=-7762341959059359226,Rogers,"2121 Carling Avenue, Unit 87,",Ottawa,ON,K2A 1S3,CA,Carlingwood Shopping Centre,(613) 798-1946,(613) 798-0117,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 7:00PM,10:00AM - 6:00PM,Carling Ave - Woodroffe Ave,N,N,N,N,Y,N,Y,Carlingwood Shopping Centre,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,45.371212,-75.768753
1945,http://maps.google.ca/maps/place?hl=en&cid=-2335361819781033725,Rogers,"2269 Riverside Drive, Unit 44,",Ottawa,ON,K1H 8K2,CA,Billings Bridge Shopping Centre,(613) 737-2071,(613) 737-2935,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 6:00PM,11:00AM - 5:00PM,Riverside Dr - Bank St,N,N,N,N,Y,N,Y,Billings Bridge Plaza,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,45.387,-75.6783
1946,http://maps.google.ca/maps/place?hl=en&cid=246447541227979675,Rogers,"17600 Yonge St, Unit E18,",Newmarket,ON,L3Y 4Z1,CA,Upper Canada Mall,(905) 853-1462,(905) 853-7651,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,9:00AM - 9:00PM,11:00AM - 7:00PM,Yonge St - Davis Dr,N,N,N,N,Y,N,Y,Upper Canada,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,44.0564,-79.4809
1949,http://maps.google.ca/maps/place?hl=en&cid=6277601344278531676,Rogers,"419 King St West, Unit 2272,",Oshawa,ON,L1J 2K5,CA,Oshawa Centre,(905) 571-6663,(905) 571-6198,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9:30AM-9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 6:00PM,11:00AM - 6:00PM,King St W - Stevenson Rd S,N,N,N,N,Y,N,Y,Oshawa Centre,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.893958,-78.879131
1954,http://maps.google.ca/maps/place?hl=en&cid=-7996604175628615885,Rogers,"550 King St North, Unit 5G,",Waterloo,ON,N2L 5W6,CA,Conestoga Mall,(519) 888-9660,(519) 888-0903,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 9:00PM,9:30AM - 6:00PM,12:00PM - 5:00PM,King St N - Kraus Dr,N,N,N,N,N,N,Y,Conestoga Mall,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.4991,-80.5303
